"Index" "yahoo" "microsoft" "citigroup" "dow_chemical"
2016-12-14 40.91 62.68 59.280296 57.208534
2016-12-15 38.41 62.580002 60.058068 57.893131
2016-12-16 38.610001 62.299999 59.579439 57.952662
2016-12-19 38.419998 63.619999 59.489695 58.319764
2016-12-20 39.16 63.540001 60.62644 58.339608
2016-12-21 39.150002 63.540001 60.576584 58.617418
2016-12-22 38.5 63.549999 60.317328 58.29
2016-12-23 38.66 63.240002 60.8159 58.43
2016-12-27 38.919998 63.279999 60.915614 58.419998
2016-12-28 38.73 62.990002 59.868612 57.900002
2016-12-29 38.639999 62.900002 59.210496 57.419998
2016-12-30 38.669998 62.139999 59.260352 57.220001
